Name,Latitude,Longitude
东京,34.79726,114.30731
华阴县,34.56602,110.09207
少华山,34.49911,109.78697
渭州,35.54303,106.6653
雁门县,39.06689,112.95996
五台山,38.96862,113.59072
桃花山,36.68456,118.47966
野猪林,36.23361,115.67072
沧州,38.30441,116.83869
梁山,35.8024,116.09584
大名府,36.29442,115.13349
郓城县,35.59984,115.94364
黄泥岗,36.16016,115.22932
济州城,35.41459,116.58724
景阳岗,36.06548,116.01084
阳谷县,36.11447,115.79131
十字坡,35.90295607,115.4930878
孟州,34.90735,112.79134
白虎山,36.68456,118.47966
揭阳岭,29.70548,116.00146
蓟州,40.04577,117.40829
沂水,35.79034,118.62782
沂岭,35.79034,118.62782
饮马川,29.70548,116.00146
祝家庄,35.20339,118.13474
李家庄,35.20339,118.13474
登州,37.81072,120.75882
豋云山,37.81072,120.75882
高唐州,36.86602,116.23111
武冈镇,40.04577,117.40829
华州,34.51259,109.7719
芒砀山,34.17847,116.50825
曾头市,34.946331,115.418917
建康府,32.05838,118.79647
凌州,37.34165,116.55798
寇州,36.48335,115.44263
东平府,35.94393,116.30913
东昌府,36.43452,115.98847
二龙山,36.68456,118.47966
清风山,36.68456,118.47966
清风寨,36.68456,118.47966
青州,36.68456,118.47966
对影山,36.68456,118.47966
揭阳镇,29.70548,116.00146
江州,29.70548,116.00146
无为军小城,29.70548,116.00146
黄门山,29.70548,116.00146
