事件,东京,华阴县,少华山,渭州,雁门县,五台山,桃花山,野猪林,沧州,梁山,大名府,郓城县,黄泥岗,济州城,景阳岗,阳谷县,十字坡,孟州,白虎山/二龙山/清风山/清风寨/青州/对影山,揭阳岭/揭阳镇/江州/无为军小城/黄门山,蓟州,沂水,沂岭,饮马川,祝家庄,李家庄,登州,豋云山,高唐州,武冈镇,华州,芒砀山,曾头市,建康府,凌州,寇州,东平府,东昌府
宋江,,,,,,,,,沧州,梁山,,郓城县,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
卢俊义,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴用,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
公孙胜,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
关胜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林冲,东京,,,,,,,野猪林,沧州,梁山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦明,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
呼延灼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花荣,,,,,,,,,,梁山,,,,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
柴进,,,,,,,,,沧州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱仝,,,,,,,,,,,,郓城县,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁智深,东京,,,渭州,雁门县,五台山,桃花山,野猪林,沧州,,,,黄泥岗,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
武松,,,,,,,,,沧州,,,,,,,阳谷县,十字坡,孟州,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
董平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张清,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨志,东京,,,,,,,,,梁山,大名府,,黄泥岗,,,,,,白虎山/二龙山/清风山/清风寨/青州/对影山,,,,,,,,,,,,,,,,,,,
徐宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索超,,,,,,,,,,,大名府,,,,,,,,,,,,,,,,,,,,,,,,,,,
戴宗,,,,,,,,,,梁山,,,,济州城,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
刘唐,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
李逵,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
史进,,华阴县,少华山,渭州,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
穆弘,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
雷横,,,,,,,,,,,,郓城县,,,,,,,,,,,,,,,,,,,,,,,,,,
李俊,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
阮小二,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
张横,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
阮小五,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
张顺,,,,,,,,,,,,,,,,,,,,揭阳岭/揭阳镇/江州/无为军小城/黄门山,,,,,,,,,,,,,,,,,,
阮小七,,,,,,,,,,梁山,,郓城县,黄泥岗,,,,,,,,,,,,,,,,,,,,,,,,,
杨雄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
石秀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解珍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解宝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
燕青,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
