renwu,1111/01,1111/02,1111/08,1112/02,1112/06,1112/08,1112/08/10,1112/09,1112/10,1112/10/10,1112/12,1113/02/01,1113/02/10,1113/02/20,1113/03,1113/03/28,1113/04,1113/06,1113/06/10,1113/06/18,1113/07,1113/11,1113/11/05,1113/11/10,1113/11/15,1113/11/20,1113/12,1113/12/10,1114/02/09,1114/02/15,1114/05/05,1114/05/10,1114/05/15,1114/05,1114/06/04,1114/06,1114/06/10,1114/06/15,1114/06/20,1114/09,1114/09/10,1114/10,1115/04,1115/08,1115/08/10,1115/08/20,1115/10,1115/10/05,1115/10/15,1115/10/20,1115/12,1116/01,1116/01/10,1116/03,1116/06,1116/06/10,1116/07,1116/07/10,1116/10,1116/10/05,1116/10/10,1116/10/15,1116/10/20,1116/11,1116/11/10,1116/12,1116/12/10,1116/12/20,1117/01/01,1117/01/02,1117/01/03,1117/01/04,1117/01/05,1117/01/06,1117/01/07,1117/01/08,1117/01/09,1117/01/10,1117/01/11,1117/01/12,1117/02,1117/02/05,1117/02/10,1117/02/15,1117/04/02,1117/04/05,1117/04/08,1117/04/11,1117/04/14,1117/04/17,1117/04/20,1117/05,1117/05/10,1117/06,1117/06/05,1117/06/10,1117/06/15,1117/06/20,1117/06/25,1117/07,1117/08,1117/09,1117/11,1117/12,1118/01,1118/02,1118/04,1118/06,1118/07,1118/09,1118/10,1118/11,1118/12,1119/01,1119/02,1119/03,1119/05,1119/08,1119/09,1119/10,1119/11,1120/01,1120/02,1120/03,1120/04
宋江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,生辰纲事发，宋江报讯，七星议投梁山,,,,,刘唐夜晚送信给宋江,宋江纳阎婆惜为外室,阎婆惜勾搭张文远，宋江约略知情,刘唐送书信金条拜谢宋江，报讯事发，宋江杀惜,宋江逃回家,朱仝让宋江逃亡,宋江至柴进处，遇武松,,,,,,,,,,,,,,,,,武松白虎山打孔亮，重逢宋江,,宋江清风山被劫，结识燕顺、王英、郑天寿,宋江放刘高夫人,宋江下清风山到清风寨见花荣,刘高捉宋江，花荣与之相斗,刘高二次抓宋江,,清风山众位好汉劫囚车，抓住刘高并处死，黄信逃回清风山,,,宋江用计捉秦明，诱降失败后陷害秦明,秦明回青州后发现自己全家被杀，遂与宋江一起返回清风山,秦明入伙,,宋江等人去清风寨掳掠,清风山中，宋江等人商议投奔梁山,宋江路收吕方、郭盛,宋江路遇石勇寄书,,宋江返回郓城县被抓,宋江刺配江州,宋江被请上梁山，而后去往江州,宋江结识李俊、李立、童威、童猛,宋江遇到薛永、穆春,宋江被穆弘、张横、穆春相逼,李俊赶来解救宋江,宋江与张横、李俊、穆春、穆宏、童威、童猛、薛永聚会,宋江到达江州,宋江结识戴宗、李逵和张顺,宋江浔阳楼题诗入狱,戴宗让宋江装疯不成，宋江再次因反诗被捕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卢俊义,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吴用,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吴用劝解两人打斗,七星聚义,智取生辰纲,生辰纲事发，宋江报讯，七星议投梁山,朱仝私放晁盖,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公孙胜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,七星聚义,智取生辰纲,生辰纲事发，宋江报讯，七星议投梁山,朱仝私放晁盖,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关胜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
林冲,,,,,,,,,,,,,,,,鲁智深和林冲结交，林冲娘子被高衙内调戏,林冲被骗入白虎节堂,林冲刺配沧州,鲁智深野猪林救林冲,鲁智深护送林冲到达沧州,林冲至沧州，遇到柴进，棒打洪教头,陆谦火烧草料场，林冲杀死陆谦等人,柴进推荐林冲上梁山,林冲梁山入伙,林冲因投名状和杨志相斗,王伦梁山宴请杨志，林冲正式入伙梁山,,,,,,,,,,,,,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
秦明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,慕容知府召唤秦明，秦明准备捉拿宋江等人,宋江用计捉秦明，诱降失败后陷害秦明,秦明回青州后发现自己全家被杀，遂与宋江一起返回清风山,秦明入伙,秦明拉拢黄信入伙,宋江等人去清风寨掳掠,清风山中，宋江等人商议投奔梁山,宋江路收吕方、郭盛,,几人上梁山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呼延灼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花荣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江下清风山到清风寨见花荣,刘高捉宋江，花荣与之相斗,,黄信抓花荣,清风山众位好汉劫囚车，抓住刘高并处死，黄信逃回清风山,,,宋江用计捉秦明，诱降失败后陷害秦明,秦明回青州后发现自己全家被杀，遂与宋江一起返回清风山,秦明入伙,,宋江等人去清风寨掳掠,清风山中，宋江等人商议投奔梁山,宋江路收吕方、郭盛,,几人上梁山,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
柴进,,,,,,,,,,,,,,,,,,,,,,,柴进推荐林冲上梁山,,,,,,,,,,,,,,,,,,,,,,,,宋江至柴进处，遇武松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
李应,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朱仝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱仝雷横抓住刘唐,晁盖解救刘唐,,,,,朱仝私放晁盖,,,,,,,,,朱仝让宋江逃亡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
武松,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江至柴进处，遇武松,武松回乡,武松回乡,武松逢兄,潘金莲调戏武松、武松去往东京公干,,,武松杀奸,武松刺配孟州，十字坡打店，遇孙二娘、张青,武松遇到施恩,武松醉打蒋门神,武松入张都监府,武松刺配恩州,武松大闹飞云浦,武松血溅鸳鸯楼,十字坡武松改装出家,武松大闹蜈蚣岭,武松白虎山打孔亮，重逢宋江,武松上二龙山，此前鲁智深杨志已经上山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鲁智深,,,,,,,,史进至渭州，遇鲁达、李忠。鲁达殴杀郑屠，弃官逃亡,鲁达至雁门县，藏赵员外家,鲁达投五台山文殊院为僧,鲁智深醉闹五台山,鲁智深二次醉闹五台山,鲁智深赴东京，路过桃花山，遇李忠、周通,鲁智深离开桃花山,鲁智深到达东京大相国寺庙,鲁智深和林冲结交，林冲娘子被高衙内调戏,,,鲁智深野猪林救林冲,鲁智深护送林冲到达沧州,,,,,,,,,,,,,,,,杨志遇到曹正，后遇到鲁智深，一起占据二龙山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武松上二龙山，此前鲁智深杨志已经上山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
董平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张清,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨志,,,,,,,,,,,,,,,,,,,,,,,,,林冲因投名状和杨志相斗,王伦梁山宴请杨志，林冲正式入伙梁山,杨志行贿高俅意图复官未果,杨志卖刀杀牛二,杨志刺配大名府,杨志于索超比武，升任提辖,,,,杨志押运生辰纲启程,智取生辰纲,杨志遇到曹正，后遇到鲁智深，一起占据二龙山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武松上二龙山，此前鲁智深杨志已经上山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
徐宁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
索超,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,杨志于索超比武，升任提辖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
戴宗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宋江结识戴宗、李逵和张顺,,戴宗让宋江装疯不成，宋江再次因反诗被捕,戴宗上梁山商议营救宋江,戴宗为伪造书信，骗二人上山,戴宗带着伪造书信，出发前往江州,,,,,,,,,,,,,,,,,,,,,,,,,,,
刘唐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,朱仝雷横抓住刘唐,晁盖解救刘唐,吴用劝解两人打斗,七星聚义,智取生辰纲,生辰纲事发，宋江报讯，七星议投梁山,朱仝私放晁盖,七星打败追兵，阮小七割掉何涛耳朵,林冲火并王伦，晁盖入主梁山,梁山破官军，擒黄安,刘唐夜晚送信给宋江,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,梁山发兵往江州,,,,,,,,,,,,,,,,,,,,,,,,,,
