date,people,times
1111/01,"['高俅', '王进']",2
1111/02,"['史进', '王进']",2
1111/08,"['史进', '王进']",2
1112/02,['史进'],1
1112/06,"['史进', '朱武', '陈达', '杨春']",4
1112/08,"['史进', '朱武', '陈达', '杨春']",4
1112/09,"['史进', '鲁智深', '李忠']",3
1112/10,['鲁智深'],1
1112/12,['鲁智深'],1
1113/02,"['鲁智深', '李忠', '周通']",3
1113/03,"['鲁智深', '林冲']",2
1113/04,['林冲'],1
1113/06,"['林冲', '鲁智深']",2
1113/07,['林冲'],1
1113/11,"['林冲', '柴进', '朱贵', '宋万', '杜迁', '王伦', '杨志']",7
1113/12,"['杨志', '高俅', '牛二']",3
1114/02,"['杨志', '梁世杰', '索超']",3
1114/05,"['朱仝', '雷横', '刘唐', '晁盖', '吴用', '公孙胜', '阮小二', '阮小五', '阮小七', '杨志']",10
1114/06,"['杨志', '晁盖', '刘唐', '吴用', '公孙胜', '阮小二', '阮小五', '阮小七', '白胜', '曹正', '鲁智深', '宋江', '朱仝', '雷横', '林冲', '朱贵', '宋万', '杜迁', '王伦']",19
1114/09,"['晁盖', '刘唐', '吴用', '公孙胜', '阮小二', '阮小五', '阮小七', '林冲', '朱贵', '宋万', '杜迁', '宋江']",12
1114/10,"['宋江', '阎婆惜']",2
1115/04,"['宋江', '阎婆惜', '张文远']",3
1115/08,"['宋江', '阎婆惜', '宋清', '朱仝']",4
1115/10,"['宋江', '柴进', '武松', '武大', '潘金莲']",5
1115/12,"['武松', '潘金莲']",2
1116/01,"['西门庆', '潘金莲', '王婆', '武大']",4
1116/03,"['武松', '西门庆', '潘金莲', '王婆']",4
1116/06,"['武松', '孙二娘', '张青', '施恩']",4
1116/07,"['武松', '蒋门神', '张都监']",3
1116/10,"['武松', '施恩', '蒋敬', '张督监', '孙二娘', '张青']",6
1116/11,"['武松', '孔亮', '孔明', '宋江', '鲁智深', '杨志']",6
1116/12,"['宋江', '燕顺', '王英', '郑天寿', '花荣']",5
1117/01,"['宋江', '花荣', '刘高', '黄信', '燕顺', '王英', '郑天寿', '秦明', '慕容彦达']",9
1117/02,"['宋江', '秦明', '花荣', '燕顺', '王英', '郑天寿', '黄信', '吕方', '郭盛', '石勇']",10
1117/04,"['宋江', '李俊', '李立', '童威', '童猛', '薛永', '穆春', '穆弘', '张横', '穆宏']",10
1117/05,"['宋江', '戴宗', '李逵', '张顺']",4
1117/06,"['宋江', '黄文炳', '戴宗', '萧让', '金大坚', '晁盖', '花荣', '黄信', '吕方', '郭盛', '燕顺', '刘唐', '杜迁', '宋万', '朱贵', '王英', '郑天寿', '石勇', '阮小二', '阮小五', '阮小七', '白胜']",22
1117/07,"['戴宗', '黄文炳', '宋江', '梁山一班人物', '李逵', '张横', '张顺', '李俊', '李立', '穆春', '穆宏', '童威', '童猛', '薛永', '晁盖', '花荣', '黄信', '吕方', '郭盛', '燕顺', '刘唐', '杜迁', '宋万', '朱贵', '王英', '郑天寿', '石勇', '阮小二', '阮小五', '阮小七', '白胜', '侯健', '\n黄文炳', '穆弘', '欧鹏', '蒋敬', '马麟', '陶宗旺']",38
1117/08,"['宋江', '戴宗', '杜迁', '宋万', '王英', '郑天寿', '童威', '童猛', '宋清', '李逵', '欧鹏', '陶宗旺', '刘唐', '石勇', '李立', '晁盖', '花荣', '秦明', '黄信', '薛永', '蒋敬', '马麟', '李俊', '穆弘', '穆春', '张横', '张顺', '侯健', '萧让', '金大坚', '公孙胜', '朱贵', '朱富', '李云']",34
1117/09,"['戴宗', '杨林', '邓飞', '孟康', '裴宣', '杨雄', '石秀']",7
1117/11,"['潘巧云', '裴如海', '杨雄', '石秀']",4
1117/12,"['杨雄', '石秀', '潘巧云', '裴如海', '时迁', '杜兴', '李应', '宋江', '花荣', '李俊', '穆弘', '李逵', '黄信', '欧鹏', '杨林', '林冲', '秦明', '戴宗', '张横', '张顺', '马麟', '邓飞', '王英', '白胜', '扈三娘', '吴用', '阮小二', '阮小五', '阮小七', '郭盛', '吕方', '解珍', '解宝', '乐和', '顾大嫂', '孙新', '邹渊', '邹润', '孙立']",39
1118/01,"['孙立', '孙新', '邹渊', '邹润', '顾大嫂', '解珍', '解宝', '乐和', '吴用', '阮小二', '阮小五', '阮小七', '郭盛', '吕方', '林冲', '秦明', '戴宗', '张横', '张顺', '马麟', '邓飞', '王英', '白胜', '宋江', '花荣', '李俊', '穆弘', '李逵', '杨雄', '石秀', '黄信', '欧鹏', '杨林', '时迁', '李应', '杜兴']",36
1118/02,['雷横'],1
1118/04,"['雷横', '朱仝']",2
1118/06,['朱仝'],1
1118/07,"['雷横', '吴用', '李逵', '朱仝', '柴进']",5
1118/09,"['李逵', '柴进', '戴宗']",3
1118/10,"['林冲', '花荣', '秦明', '李俊', '吕方', '郭盛', '孙立', '欧鹏', '杨林', '邓飞', '马麟', '白胜', '宋公明', '吴用', '朱仝', '雷横', '戴宗', '李逵', '张横', '张顺', '杨雄', '石秀', '公孙胜', '汤隆', '柴进']",25
1118/11,"['呼延灼', '韩韬', '彭玘', '凌振', '时迁', '汤隆', '徐宁']",7
1118/12,"['呼延灼', '周通', '李忠', '鲁智深', '武松', '杨志', '施恩', '孙二娘', '张青', '曹正', '孔明', '孔亮']",12
